,Period,Year,Month,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
7577,2020-10-20,2020,10,N9,Male,Gen X,Salaried employee,Middle Income,Less,Same,More,More,Not sure,Same,More,More,More,Same,More,More,More
7578,2020-10-20,2020,10,N9,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Less,Same,More,Not sure,More,Same,Less,Less
7579,2020-10-20,2020,10,N9,Female,Millennials,Student,Low Income,Less,Same,Same,Less,Same,More,Same,Less,Same,Same,Less,Same,Same
7580,2020-10-20,2020,10,N9,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,More,Same,More,More,More,Same,Same,More,Same,Same
7581,2020-10-20,2020,10,T18,Female,Millennials,Salaried employee,Middle Income,Less,Same,More,More,Same,Same,Less,Less,Same,Same,More,More,Same
7582,2020-10-20,2020,10,Other,Male,Gen Z,Salaried employee,Middle Income,Not sure,More,Same,Less,More,More,Same,Less,Same,More,Not sure,More,Same
7583,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,More,Same,Same,Same,Same,Same,Same,More,More,Same,Same,More,Same
7584,2020-09-20,2020,9,Other,Male,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,More,Same,Same,Not sure,Same,Same
7585,2020-09-20,2020,9,Other,Male,Millennials,Salaried employee,High Income,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,More,Same
7586,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,More,More,Same,More,More,More,Same,Less,Same,Same,Same,Same,Same
7587,2020-09-20,2020,9,Other,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,More,More,Same,Same,Same,More,More,More
7588,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Low Income,More,Same,Same,Same,Same,Same,More,Same,More,More,Same,Same,Same
7589,2020-09-20,2020,9,Other,Female,Millennials,Unemployed,High Income,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,More,Same
7590,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,High Income,Not sure,More,More,Not sure,Same,More,Same,More,Same,More,Same,Less,More
7591,2020-09-20,2020,9,D16,Female,Millennials,Unemployed,Middle Income,More,More,Same,Same,Same,Same,Same,Same,More,Same,More,Same,Same
7592,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,More,More,Same,Same,Same,More,More,Same,Same
7593,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Middle Income,Same,More,More,More,Same,Same,More,Same,More,More,Same,More,Same
7594,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,High Income,Same,More,Same,More,More,Same,More,Same,Same,More,Same,Same,Same
7595,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,Same,Same,More,Same,Same,Same,Same
7596,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,Less,Same
7597,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,More,Same,Same,Same,More,Same
7598,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Low Income,Same,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7599,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,Low Income,More,Same,Same,Same,Less,Same,More,Same,Same,More,Same,Same,Same
7600,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,High Income,Same,Same,Same,Same,More,Same,Same,More,Same,Same,More,Same,More
7601,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,More,More,Same,Same,More,Same,Same,More,Same,Same
7602,2020-09-20,2020,9,D16,Female,Millennials,Unemployed,High Income,More,Less,More,Same,Same,Same,Same,Same,Same,More,Same,Same,Same
7603,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,Less,Same,Same,Same,Same,Same,Same,More,Same,More
7604,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,More,Same,More,More,Same,Same,Same,Same
7605,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7606,2020-09-20,2020,9,D16,Female,Millennials,Self employed/Contractor,High Income,More,Same,More,Same,Same,Same,Same,Same,Same,Same,More,Same,Same
7607,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,High Income,Same,More,Same,Same,Same,Same,More,More,Same,Same,Same,Not sure,Same
7608,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,High Income,Same,More,Same,Same,Same,Same,More,Same,More,More,More,More,More
7609,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Same,Same,Same,Not sure,Same,Same,Same,More,Same
7610,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,High Income,Same,Same,More,Same,Same,Same,More,More,Same,More,Same,More,Same
7611,2020-09-20,2020,9,D16,Female,Millennials,Salaried employee,Low Income,More,Same,Same,Same,Same,More,More,Same,Same,Same,Same,More,Same
7612,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,More,Same,Same,Same,Not sure,Same,Same,Same,Same
7613,2020-09-20,2020,9,D16,Male,Millennials,Salaried employee,High Income,More,Same,Same,Same,More,Same,Same,Same,Same,More,Same,Same,Same
7614,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Low Income,More,Same,Same,More,Same,More,More,Same,More,Same,More,Same,More
7615,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,Same,Same,Same,More,Same,Same,More,Same,Same,Same,More,Same,Same
7616,2020-09-20,2020,9,Other,Male,Millennials,Salaried employee,High Income,Same,Same,Same,More,Same,Same,Same,Same,More,Same,Same,More,Same
7617,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,More
7618,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,Same,Same,Same,More,Same,Same,Same,Same,Same,Same,Not sure,Same,Same
7619,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,More,Same,More,Same,Same,More,Same,More,Same,Same,Same,Same,More
7620,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,More,More,More,Same,More,Same,Not sure,Same,Same
7621,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,More,Same,Same,Same,More,Same,More,Same,Same,More
7622,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,More,Same,Same,More,Same,Same,More,Same,More,Same,Same,More,Same
7623,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Same,Same,More,Same,Same,Same,Same,More,Same
7624,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,More,More,Same,Same,Same,Same,More,Same,More,Same,Same,Same,Same
7625,2020-09-20,2020,9,Other,Male,Millennials,Salaried employee,High Income,Same,Same,More,More,Same,Same,Same,Same,Same,More,Same,More,More
7626,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Not sure,Same,Same,Same,More,Same,Same,Same,More,Same
7627,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,Same,Less,More,Same,More,Same,More,Same,More,Same,Same,Same,Same
7628,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,More,Same,Same,Same,More,Same,More,Same,More,Same,Same,More,Same
7629,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,More,Same,Same,More,Same,More,Same,Same,Same,More,Same,Same,Same
7630,2020-09-20,2020,9,Other,Female,Millennials,Student,Middle Income,More,Same,Same,Same,Same,Same,Same,Same,More,Same,Same,Same,Same
7631,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,More,Same,More,More,More,Same,Same,Same,Same,Same,More,Same,Same
7632,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,More,Same,More,Same,Same,Same,Same,Not sure
7633,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,Same,Not sure,Same,Same,Same,Same,Same,Same,Same,Not sure,Same,Same,Same
7634,2020-09-20,2020,9,Other,Male,Millennials,Salaried employee,High Income,Same,Same,Same,More,More,Same,Same,Same,Not sure,Same,Same,More,Same
7635,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Less,Same,More,Same,Same,Same,Same,More,Same,Same
7636,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,Same,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,More
7637,2020-09-20,2020,9,Other,Female,Millennials,Salaried employee,High Income,More,Same,Same,Same,More,More,Same,Same,More,Same,Same,Same,Same
7638,2020-09-20,2020,9,N1,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7639,2020-09-20,2020,9,N1,Male,Gen Z,Unemployed,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7640,2020-09-20,2020,9,N1,Female,Millennials,Student,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7641,2020-09-20,2020,9,N1,Male,Gen Z,Unemployed,Low Income,Same,Same,More,More,More,More,Same,Same,Same,Same,Same,Same,Same
7642,2020-09-20,2020,9,N1,Male,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7643,2020-09-20,2020,9,N1,Male,Gen Z,Salaried employee,Low Income,Same,More,More,More,More,More,More,More,More,More,More,More,More
7644,2020-09-20,2020,9,N1,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7645,2020-09-20,2020,9,N1,Male,Gen Z,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7646,2020-09-20,2020,9,N1,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7648,2020-09-20,2020,9,N1,Male,Millennials,Salaried employee,Low Income,More,More,More,More,More,More,More,More,More,More,More,More,More
7649,2020-09-20,2020,9,N10,Male,Baby Boomers,Business owner,High Income,More,More,Same,More,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same,More
7650,2020-09-20,2020,9,N10,Male,Baby Boomers,Business owner,High Income,Same,Less,Less,Same,Less,Not sure,Same,Less,Not sure,Same,Less,Same,Same
7651,2020-09-20,2020,9,N10,Male,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Not sure,Same,Less,Same,More
7652,2020-09-20,2020,9,N10,Male,Millennials,Business owner,Middle Income,Same,Same,Less,More,Not sure,Same,Same,Less,Not sure,Same,Less,Same,Same
7653,2020-09-20,2020,9,N10,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Less,Not sure,Same,Less,Same,Same
7654,2020-09-20,2020,9,N10,Female,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,Less,Not sure,Same,Less,Not sure,Same,Less,Same,Same
7655,2020-09-20,2020,9,N10,Female,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Not sure,Not sure,Same,Less,Not sure,Same,Less,Same,More
7656,2020-09-20,2020,9,N10,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same,More
7657,2020-09-20,2020,9,N10,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Less,Not sure,Same,Less,Same,Same
7658,2020-09-20,2020,9,N10,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same,Same
7659,2020-09-20,2020,9,N10,Female,Millennials,Salaried employee,Middle Income,Same,Same,Not sure,Same,Not sure,Not sure,Same,Less,Not sure,Same,Less,Same,Same
7660,2020-09-20,2020,9,N10,Female,Gen X,Salaried employee,Middle Income,Same,Same,Less,Same,Same,Not sure,Same,Same,Not sure,Same,Same,Same,Same
7661,2020-09-20,2020,9,N10,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Same,Same,Same
7662,2020-09-20,2020,9,N10,Female,Millennials,Self employed/Contractor,Middle Income,Same,Less,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same,Same
7663,2020-09-20,2020,9,N10,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Not sure,Not sure,Same,Less,Not sure,Same,Less,Less,More
7664,2020-09-20,2020,9,N11,Female,Millennials,Salaried employee,Low Income,Same,Same,Not sure,Same,Same,Not sure,Same,Less,Less,Less,Less,Less,Same
7665,2020-09-20,2020,9,N11,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Less,Same,Less,Less,Same,Same
7666,2020-09-20,2020,9,N11,Male,Millennials,Salaried employee,Middle Income,More,More,More,More,Same,Less,Same,Same,Less,Same,Same,Same,Same
7667,2020-09-20,2020,9,N11,Female,Gen Z,Salaried employee,Low Income,Same,Same,More,More,Less,Not sure,Less,Less,Less,Less,Less,Less,Same
7668,2020-09-20,2020,9,N11,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Less,Same,Less,Less,Less,Less,Less,Same
7669,2020-09-20,2020,9,N11,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Less,Less,Same,Less,Same
7670,2020-09-20,2020,9,N11,Male,Millennials,Salaried employee,Middle Income,More,More,More,More,Same,Less,Same,Less,Less,Less,Same,Same,Same
7671,2020-09-20,2020,9,N11,Female,Millennials,Salaried employee,Low Income,More,Same,Same,More,Same,Less,Same,Same,Less,Less,Less,Less,Less
7672,2020-09-20,2020,9,N11,Female,Millennials,Salaried employee,Middle Income,Same,Same,Not sure,More,Not sure,Less,Less,Less,Less,Less,Less,Less,Same
7673,2020-09-20,2020,9,N11,Female,Gen Z,Salaried employee,Middle Income,More,More,Same,More,Same,Not sure,Same,Same,Less,Less,Same,Same,Same
7674,2020-09-20,2020,9,N12,Female,Gen Z,Student,Low Income,More,Same,Not sure,Same,Not sure,Not sure,Same,Same,Less,Not sure,Less,Less,More
7675,2020-09-20,2020,9,N12,Male,Millennials,Self employed/Contractor,Middle Income,Same,More,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less,Less
7676,2020-09-20,2020,9,N12,Male,Millennials,Unemployed,Low Income,Less,Less,Less,Less,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Less,Less
7677,2020-09-20,2020,9,N12,Female,Millennials,Self employed/Contractor,Middle Income,Same,More,Same,Less,Less,Less,More,More,Less,Less,Same,Less,More
7678,2020-09-20,2020,9,N12,Male,Gen X,Business owner,High Income,More,More,More,More,Less,Same,Same,Same,Less,More,Less,Same,More
7679,2020-09-20,2020,9,N12,Female,Millennials,Salaried employee,Low Income,Same,More,Less,Same,Less,Less,Same,Same,Less,Same,Same,Same,Same
7680,2020-09-20,2020,9,N12,Female,Millennials,Salaried employee,Middle Income,Less,Same,Less,More,Less,Less,Same,Same,Less,Less,Same,Less,More
7681,2020-09-20,2020,9,N12,Male,Gen Z,Salaried employee,Low Income,Same,More,More,More,Less,Less,Less,Not sure,Same,Same,Not sure,Same,More
7682,2020-09-20,2020,9,N12,Female,Millennials,Salaried employee,Middle Income,Less,Same,Less,Less,Not sure,Not sure,Less,Same,Less,Not sure,Less,Same,Same
7683,2020-09-20,2020,9,N12,Female,Millennials,Salaried employee,Low Income,Less,Same,Same,More,Less,Not sure,Same,Same,Less,Less,Same,Less,More
7684,2020-09-20,2020,9,N13,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Less,Less,Same,Less,Less,Less,Less,Less,More
7685,2020-09-20,2020,9,N13,Male,Gen Z,Student,Low Income,Less,Less,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
7686,2020-09-20,2020,9,N13,Male,Gen Z,Student,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
7687,2020-09-20,2020,9,N13,Male,Millennials,Student,Middle Income,Same,Same,More,Same,Same,Not sure,Less,Less,Less,Less,Less,Less,Same
7688,2020-09-20,2020,9,N13,Female,Gen Z,Student,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
7689,2020-09-20,2020,9,N13,Male,Millennials,Student,Middle Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,Same,Less,Less,Same
7690,2020-09-20,2020,9,N13,Male,Millennials,Student,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
7691,2020-09-20,2020,9,N13,Male,Millennials,Student,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7692,2020-09-20,2020,9,N13,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
7693,2020-09-20,2020,9,N13,Male,Millennials,Unemployed,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
7694,2020-09-20,2020,9,N13,Female,Gen Z,Student,Low Income,Less,Less,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
7695,2020-09-20,2020,9,N14,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Not sure,Not sure,Not sure,Less,Not sure,Less,Same
7696,2020-09-20,2020,9,N14,Male,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Less,Same,Same,Less,Less,Same,Same,Same
7697,2020-09-20,2020,9,N14,Female,Millennials,Student,Low Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,Less,Same,Less,Same
7698,2020-09-20,2020,9,N14,Male,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Not sure,Less,Less,Not sure,Less,Same
7699,2020-09-20,2020,9,N14,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Not sure,Less,Less,Not sure,Less,Same
7700,2020-09-20,2020,9,N14,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7701,2020-09-20,2020,9,N14,Female,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7702,2020-09-20,2020,9,N14,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7703,2020-09-20,2020,9,N14,Male,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Not sure,Not sure,Same,Same,Not sure,Less,Same
7704,2020-09-20,2020,9,N14,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same
7705,2020-09-20,2020,9,N14,Male,Millennials,Salaried employee,Middle Income,Same,Same,Less,More,Less,Not sure,Not sure,Not sure,Same,Less,Not sure,Less,Less
7706,2020-09-20,2020,9,N14,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Less,Not sure,Not sure,Less,Less,Not sure,Less,Same
7707,2020-09-20,2020,9,N14,Female,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same
7708,2020-09-20,2020,9,N14,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Not sure,Not sure,Less,Same,Not sure,Not sure,Same
7709,2020-09-20,2020,9,N16,Male,Millennials,Salaried employee,Low Income,More,Same,Same,Same,More,Less,Less,Less,More,Less,Less,Same,More
7710,2020-09-20,2020,9,N16,Male,Millennials,Salaried employee,Low Income,More,More,Same,More,More,Less,Less,Less,More,Less,Less,Same,More
7711,2020-09-20,2020,9,N16,Male,Millennials,Salaried employee,Low Income,More,Same,Same,Same,Less,Not sure,Same,Same,More,Less,Less,Same,More
7712,2020-09-20,2020,9,N16,Female,Baby Boomers,Unemployed,Low Income,More,More,Same,More,Same,Not sure,Less,Less,Less,Less,Less,Less,Same
7713,2020-09-20,2020,9,N16,Female,Gen Z,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
7714,2020-09-20,2020,9,N16,Female,Millennials,Salaried employee,Middle Income,More,More,More,More,Same,Not sure,Same,Same,More,Same,Same,Same,More
7715,2020-09-20,2020,9,N16,Male,Gen X,Self employed/Contractor,Low Income,More,More,More,More,Same,Not sure,Same,Same,More,Same,Same,Same,More
7716,2020-09-20,2020,9,N16,Female,Gen Z,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,Same,Same,More,Same,Same,Same,More
7717,2020-09-20,2020,9,N16,Female,Gen Z,Salaried employee,Low Income,More,More,Same,More,More,Not sure,Same,Same,More,Less,Less,Same,More
7718,2020-09-20,2020,9,N16,Male,Millennials,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,More,Same,More,Same,Same,Same,More
7719,2020-09-20,2020,9,N17,Female,Baby Boomers,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,More,Same
7720,2020-09-20,2020,9,N17,Male,Baby Boomers,Business owner,Middle Income,Same,Same,More,More,More,Not sure,Same,Not sure,Same,Not sure,Same,Not sure,Same
7721,2020-09-20,2020,9,N17,Male,Baby Boomers,Self employed/Contractor,Middle Income,Same,Same,Not sure,Not sure,Same,Same,Same,Not sure,Same,Same,Not sure,Not sure,More
7722,2020-09-20,2020,9,N17,Female,Millennials,Unemployed,Middle Income,Not sure,Not sure,Same,Not sure,Same,Not sure,Same,Same,Not sure,Not sure,Not sure,Not sure,Not sure
7723,2020-09-20,2020,9,N17,Male,Baby Boomers,Salaried employee,Middle Income,Same,Less,Same,Same,Same,Not sure,Same,Not sure,Same,Same,Not sure,Same,More
7724,2020-09-20,2020,9,N17,Female,Millennials,Unemployed,Low Income,Less,Same,Same,Less,Not sure,Not sure,Not sure,Same,Same,Same,Less,Less,Less
7725,2020-09-20,2020,9,N17,Female,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Less,Same,Same,Same,Less,Same
7726,2020-09-20,2020,9,N17,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Not sure,Same,Same,Same,Same,Same
7727,2020-09-20,2020,9,N17,Male,Millennials,Self employed/Contractor,Low Income,Less,Less,Less,Not sure,Not sure,More,Less,Not sure,Same,Not sure,Less,More,Same
7728,2020-09-20,2020,9,N17,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,Less,Same,Same,Less,Less,Less,Less,More
7729,2020-09-20,2020,9,N17,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,More,Less,Same,Same,Less,Less,Same,Same,More
7730,2020-09-20,2020,9,N17,Female,Millennials,Salaried employee,Middle Income,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Same,More,Same,Not sure,More,Same,Same
7731,2020-09-20,2020,9,N17,Male,Gen Z,Unemployed,Low Income,Same,Less,Not sure,Same,Not sure,Same,Same,Not sure,More,Same,Not sure,Same,Same
7732,2020-09-20,2020,9,N17,Male,Millennials,Salaried employee,High Income,More,More,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,More
7733,2020-09-20,2020,9,N17,Male,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Less,Not sure,Not sure,Less,Not sure,Not sure,Less,Same
7734,2020-09-20,2020,9,N18,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Less,Same,Same
7735,2020-09-20,2020,9,N19,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7736,2020-09-20,2020,9,N19,Male,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7737,2020-09-20,2020,9,N19,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,More,More,More,More,More,More,Same,Same
7738,2020-09-20,2020,9,N19,Male,Gen Z,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7739,2020-09-20,2020,9,N19,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,More,More
7741,2020-09-20,2020,9,N19,Female,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7743,2020-09-20,2020,9,N19,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
7745,2020-09-20,2020,9,N19,Female,Gen X,Business owner,Low Income,Same,Same,Same,Same,Same,More,More,More,More,More,More,More,More
7746,2020-09-20,2020,9,N2,Male,Millennials,Salaried employee,Low Income,More,Same,Same,More,More,Less,Less,Less,Less,Less,Less,Same,More
7747,2020-09-20,2020,9,N2,Male,Millennials,Business owner,Low Income,More,Same,Same,Same,Same,Same,More,Same,Same,More,Same,Same,More
7748,2020-09-20,2020,9,N2,Male,Millennials,Unemployed,Low Income,More,Same,More,More,Same,Same,More,Same,Same,More,More,More,Same
7749,2020-09-20,2020,9,N2,Female,Millennials,Salaried employee,Low Income,More,Same,Less,Same,Same,Same,Same,More,Same,Same,Same,More,More
7750,2020-09-20,2020,9,N2,Male,Millennials,Salaried employee,Middle Income,More,Same,More,More,More,Same,More,More,Same,More,Same,More,More
7751,2020-09-20,2020,9,N2,Female,Millennials,Salaried employee,Middle Income,More,Same,More,More,More,More,More,Same,Same,More,Same,Less,More
7752,2020-09-20,2020,9,N2,Male,Millennials,Salaried employee,Middle Income,More,Same,More,More,More,More,Same,Same,Same,More,Same,Same,More
7753,2020-09-20,2020,9,N2,Male,Millennials,Salaried employee,Low Income,More,More,Same,More,More,Less,Less,Less,Less,More,Same,Same,Same
7754,2020-09-20,2020,9,N2,Male,Millennials,Self employed/Contractor,Middle Income,More,More,Same,More,More,Less,Less,Same,Same,Same,Same,Less,Same
7755,2020-09-20,2020,9,N2,Female,Millennials,Salaried employee,Low Income,More,Same,Same,More,Same,More,Same,Same,Less,Same,Same,Less,More
7756,2020-09-20,2020,9,N2,Female,Millennials,Salaried employee,Low Income,More,Same,Same,More,More,Less,Same,More,Same,More,Same,Same,Same
7757,2020-09-20,2020,9,N2,Female,Millennials,Business owner,Low Income,More,More,Same,Same,Same,Same,More,Same,More,Same,Same,Same,More
7758,2020-09-20,2020,9,N2,Male,Gen X,Salaried employee,Low Income,More,Same,Same,More,Same,Same,More,Same,More,Same,Same,More,Same
7759,2020-09-20,2020,9,N2,Male,Millennials,Business owner,Middle Income,More,Same,More,Same,More,More,Same,Same,More,Same,Same,More,More
7760,2020-09-20,2020,9,N2,Male,Millennials,Salaried employee,Low Income,More,More,Same,More,Same,Less,Same,Same,Same,Same,More,Same,Same
